Question ID,Topic,Question Type,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Study Notes
Q55,Security,Practice Question,Medium,"A DevOps Engineer is deploying an AEM environment in a private network. How can the DevOps Engineer restrict other clients or applications from flushing the cache?","Set permissions on the publish instance by using Access Control Lists to allow the publish instance private IPs","Configure the /filter section of the dispatcher configuration with an allow rule to make sure the correct client's private IPs are allowed to flush the cache","The allowedClients section in the dispatcher configuration should only allow the publish instances private IPs","Set up client certificate authentication in the dispatcher configuration","C","The allowedClients section in dispatcher configuration restricts which IPs can send flush requests. This is specifically designed for this purpose and ensures only authorized publish instances can invalidate the dispatcher cache, providing simple and effective security.","Dispatcher security: Use /allowedClients to restrict cache flush access"
Q56,Dispatcher,Practice Question,Easy,"An AEM setup requires custom error pages to be delivered by the webserver. The DevOps Engineer must configure the dispatcher so that the webserver delivers such error pages and not AEM. The webserver is configured with an error document directive for the specific error codes. To what value should the dispatcher parameter be set?","DispatcherPassError 0","DispatcherPassError 1","DispatcherServeError 0","DispatcherServeError 1","B","DispatcherPassError 1 passes error codes (≥400) to Apache, allowing Apache ErrorDocument directives to work. This enables custom error pages to be delivered by the webserver instead of AEM, which is the desired behavior for this configuration.","Dispatcher config: DispatcherPassError 1 enables webserver error pages"
Q57,Configuration,Practice Question,Medium,"Which configuration file is applied for the component ""org.apache.felix.webconsole.internal.servlet.OsgiManager"" on the publish instance, assuming all files below are deployed?","/apps/system/config/org.apache.felix.webconsole.internal.servlet.OsgiManager.config","/system/config/org.apache.felix.webconsole.internal.servlet.OsgiManager.config","/apps/<your.project>/config.author/org.apache.felix.webconsole.internal.servlet.OsgiManager.config","/apps/<your.project>/config/org.apache.felix.webconsole.internal.servlet.OsgiManager.config","A","The /apps/system/config/ path is used for system-level OSGi configurations. This path ensures the configuration applies to the Felix Web Console component across all instances, including publish instances, following AEM's standard configuration hierarchy.","OSGi config: /apps/system/config/ for system-level component configurations"
Q58,Development,Practice Question,Easy,"A problem is found on an AEM instance. How can the DevOps Engineer enable the developers to step through the actual code that is running?","Start AEM with the debug runmode set","Connect to the JVM using a JMX connection","Start AEM with the remote debugging JVM parameter","Create an SSH tunnel to access the AEM java port","C","Start AEM with the remote debugging JVM parameter (-agentlib:jdwp=transport=dt_socket,address=8000,server=y,suspend=n) enables developers to connect their IDE debuggers to step through running code. This provides code-level debugging capabilities.","Development debugging: Use remote debugging JVM parameter for code stepping"
Q59,Security,Practice Question,Medium,"What is the role of the External Login Module when setting up LDAP Authentication with AEM?","It defines how the Identity Provider users and groups will be synchronized with the repository","It invokes JMX syncing of users","It defines which Identity Provider and Sync Handler to use","It defines how users are retrieved from the LDAP server","C","The External Login Module acts as a connector that defines which Identity Provider and Sync Handler to use. It connects the components but doesn't handle synchronization or user retrieval directly - that's handled by the Sync Handler and LDAP Provider respectively.","LDAP setup: External Login Module defines Identity Provider and Sync Handler connections"
Q60,Performance,Practice Question,Medium,"A production AEM instance shuts down randomly. Which JVM parameter should the DevOps engineer implement to make sure the correct debugging info is collected?","Use -agentlibjdwp JVM parameter","Use -XX:MaxMetaspaceSize JVM parameter","Use -XX:+HeapDumpOnOutOfMemoryError JVM parameter","Use -XX:+PrintGCDetails JVM parameter","C","The -XX:+HeapDumpOnOutOfMemoryError parameter creates a heap dump when OutOfMemoryError occurs, captures memory state when crash occurs, helps diagnose random shutdowns, and preserves debugging information for post-mortem analysis.","JVM debugging: -XX:+HeapDumpOnOutOfMemoryError for crash analysis"
Q61,Cloud Service,Practice Question,Medium,"A DevOps engineer needs to deploy a filevault package that contains a mixture of mutable and immutable paths to AEM as a Cloud Service, via Package Manager. What should the DevOps engineer do?","Refactor the content package, set the packageType to ""content"", and make sure it contains all subpackages and OSGi configurations","Refactor the content package, set the packageType to ""content"", and set the inclusion filters to only /content or /conf","Refactor the content package, set the packageType to ""mixed"", and leave the filter.xml unchanged","Refactor the content package, set the packageType to ""mixed"", and make sure it contains all subpackages and OSGi configurations","B","Refactor the content package, set the packageType to ""content"", and set the inclusion filters to only /content or /conf. This follows best practices by using the correct package type with proper content filtering, maintaining clean separation of concerns and structure.","Cloud Service packages: Use content type with proper /content or /conf filtering"
Q62,Security,Practice Question,Easy,"A DevOps engineer needs to configure SAML on an AEM author instance. Which items does the DevOps engineer need from the Identity Provider (IdP)?","IdP PrivateKey, ServiceEntity ID, IdP URL","SSL certificate, ServiceEntity ID, IdP URL","IdP certificate, ServiceEntity ID, IdP URL","IdP certificate, ServiceEntity ID, IdP URL, Private Key","C","IdP certificate, ServiceEntity ID, and IdP URL are the three required components for SAML authentication setup. The IdP certificate is used for SAML validation, ServiceEntity ID identifies the service, and IdP URL provides the endpoint for authentication.","SAML setup: Need IdP certificate, ServiceEntity ID, and IdP URL"
Q63,Security,Practice Question,Easy,"During security tests, it becomes apparent that AEM-specific paths were accessible on the publish instance. These paths should not be accessible to the public. Which configuration should be used on a publish dispatcher instance?","/0001 {/type ""deny"" /glob ""*""}","/0001 {/type ""deny"" /url ""/crx/*""}","/0001 {/type ""deny"" /url ""/system/*""}","/0001 {/type ""deny"" /glob ""/system/*""}","C","/0001 {/type ""deny"" /url ""/system/*""} blocks system paths using the correct /url syntax (not deprecated /glob). This prevents access to AEM-specific system paths while following current best practices for dispatcher security configuration.","Dispatcher security: Use /url syntax to deny /system/* paths"
Q64,Cloud Service,Practice Question,Medium,"A DevOps engineer must authenticate an access token to create an API integration for Cloud Manager. Which token should the DevOps engineer use?","OAuth2 Token","Web API Token","JSON Web Token","Oak Login Token","C","JSON Web Token (JWT) is required for Cloud Manager API integration. Cloud Manager specifically requires JWT for API authentication to access Adobe I/O APIs, which is the standard format for Adobe services and required for integration service account authentication.","Cloud Manager API: Use JSON Web Token (JWT) for authentication"
Q65,Cloud Service,Practice Question,Hard,"A DevOps engineer is migrating custom index definitions in preparation to move an on-premise instance to the AEM as a Cloud Service. The on-premise AEM instance contains indexes in the following locations: under /apps/my-app/oak-index, under /content/my-site/oak-index, under /oak:index. The indexes must be consolidated before using the Index Converter utility. Which two possible paths should the DevOps engineer consolidate the index to? (Choose two.)","/content/my-site/oak-index","/apps/my-app/oak-index","/oak:index","/conf/my-site/settings/oak-index","B and D","Indexes should be consolidated to /apps/my-app/oak-index for application-specific indexes deployed as part of the codebase, and /conf/my-site/settings/oak-index for content-related indexes that need to be configurable. These locations are compatible with the Index Converter utility and follow AEM as a Cloud Service best practices.","Cloud Service migration: Consolidate indexes to /apps/ or /conf/ paths"
Q66,Cloud Service,Practice Question,Medium,"A developer needs a custom URL when previewing a page on AEM as a Cloud Service that differs from publish. How should the DevOps engineer configure the OSGi setting?","/apps//config/publish{""preview.url"": ""preview.site.com""}","/apps//config/preview{""publish.url"": ""preview.site.com""}","/apps//config.preview{""publish.url"": ""preview.site.com""}","/apps//config.publish{""preview.url"": ""preview.site.com""}","C","/apps//config.preview{""publish.url"": ""preview.site.com""} uses the correct OSGi runmode configuration format with dot notation (config.preview) and the correct property (publish.url) to define the URL used for previewing content in the preview environment.","Cloud Service OSGi: Use config.preview with publish.url property"
Q67,Cloud Service,Practice Question,Medium,"A DevOps engineer needs to edit a Production program based on the entitled solutions in a self-service manner via the UI. Which two actions can the DevOps engineer take? (Choose 2)","Add Commerce solution to a program without Sites","Add Forms solution to a program without Sites","Add Screens solution to the Development environment only","Remove Sites from an existing program that includes both Sites and Assets","A and B","Add Commerce solution to a program without Sites and Add Forms solution to a program without Sites are valid actions. Commerce and Forms can be added as standalone solutions without requiring Sites as a prerequisite, allowing for self-service configuration via the Cloud Manager UI.","Cloud Manager: Commerce and Forms can be added without Sites dependency"
Q68,Cloud Service,Practice Question,Medium,"A multinational customer's ""warning threshold"" for the Folder Size: AEM Segment Store metric on the System Monitoring page in Cloud Manager is not the same as other customers and needs to be changed to match. What should the DevOps engineer do?","Define a new ""Folder Size"" KPI in the Setup Program panel","Configure the Cloud Manager Integration in Adobe I/O console","Deploy the new metric using the Developer Console","Contact the Adobe Customer Success Engineer","D","Contact the Adobe Customer Success Engineer as warning thresholds for system monitoring metrics are typically managed by Adobe and require support intervention. These thresholds are not configurable through self-service UI and need Adobe's assistance to modify.","Cloud Manager monitoring: Contact Adobe support for threshold changes"
Q69,Cloud Service,Practice Question,Easy,"A DevOps engineer needs to perform initial onboarding of users who need to have admin privileges to the AEM as a Cloud Service instances. What must the DevOps engineer do?","Add users to the AEM Administrators-xxx product profile via the Admin Console","Add users to the Administrators group via the Oak LDAP synchronization","Add users to the Administrators group on the AEM instances","Add users to the Cloud Manager Administrators group","A","Add users to the AEM Administrators-xxx product profile via the Admin Console. For Cloud Service, user management is handled through IMS and the Admin Console is the only correct method for granting admin privileges, as local user management and LDAP synchronization are not supported.","Cloud Service admin: Use Admin Console product profiles for user management"
Q70,Performance,Practice Question,Medium,"A DevOps engineer needs to analyze an end user performance issue for an AEM as a Cloud Service Sites setup. Certain assets that are delivered with a no-cache header to the browser are being delivered very slowly. Network performance looks fine, and other assets that have a TTL defined in the caching header are delivered normally. Which log file should the DevOps engineer analyze further?","Dispatcher log","HAR file","AEM request log","AEM error log","C","AEM request log should be analyzed because assets with no-cache headers must go to the publish instance every time (bypassing dispatcher cache), while cached assets work normally. The slow performance indicates a bottleneck on the publish instance, which the request log will show.","Performance analysis: AEM request log for uncached asset processing issues"
Q71,Cloud Service,Practice Question,Medium,"A customer's Sandbox environment is hibernated, and the customer wants it to stay in that state until they are ready for testing. While hibernated, the customer wants custom code deployed, and they should have the new code once the environment is de-hibernated. What should the DevOps engineer do?","Use Developer Console to de-hibernate the environment and then deploy the code","Create a hibernate branch in Git and perform an update from this branch","Use a pipeline to deploy custom code to the hibernated environment","Use Cloud Manager to de-hibernate the environment and then deploy the code","C","Use a pipeline to deploy custom code to the hibernated environment. Hibernated environments can still receive code deployments through pipelines, and the code will be ready when the environment is de-hibernated. This saves resources while preparing the environment for testing.","Cloud Service: Pipelines can deploy to hibernated environments"
Q72,Deployment,Practice Question,Medium,"The Package Manager fails to load. The error log shows the following lines: ""com.day.crx.packmgr.impl.servlets.ListServlet Error while retrieving infos: javax.jcr.RepositoryException: Invalid path: /etc/packages/my_packages/..."" What should the DevOps engineer do?","Remove any rule that is configured for the name ""packmgr"" under /etc/map","Rename the package by editing the ""name"" property of the vault definition","Add an allow filter to the dispatcher configuration for ""/etc/packages""","Restart the AEM instance","A","Remove any rule that is configured for the name ""packmgr"" under /etc/map. Sling mapping rules can cause path resolution issues, and removing the problematic mapping rule will restore proper path resolution for Package Manager to access /etc/packages/.","Package Manager troubleshooting: Remove problematic Sling mapping rules"
Q73,Cloud Service,Practice Question,Hard,"An enterprise customer of AEM as a Cloud Service has three independent development teams. Each team is responsible for publishing a different website with a unique domain and SSL certificate to the single, shared AEM program. Each team has set their own project timeline with a different launch date planned within the next 6 months. Each team has their own upstream Git repository hosted in the corporate subnet, which they initialized using the latest aem-project-archetype. The DevOps engineer is solely responsible for any configurations needed to enable automated deployment to all three environments (dev, stage, and prod). Which two options should the DevOps engineer choose? (Choose two.)","Use Git submodules in Cloud Manager to merge the content of multiple branches across git repositories at build time","Three separate Cloud Service programs and Cloud Manager Developer/Deployment Manager role assignments for each of the three team leads","A multi-module Maven project that embeds each team's Git repository as a module of the encompassing Maven project","A fourth Git repository that contains a root pom file and a CI/CD pipeline script cloning the other three project repositories as subfolders","C and D","A multi-module Maven project that embeds each team's Git repository as a module of the encompassing Maven project, and A fourth Git repository that contains a root pom file and a CI/CD pipeline script cloning the other three project repositories as subfolders. Both solutions allow integration of multiple team repositories into a single build process while maintaining team independence within the single shared program constraint.","Multi-team deployment: Use Maven multi-module or aggregation repository approach"
Q74,Cloud Service,Practice Question,Medium,"A DevOps engineer is supporting a client on Adobe Managed Services. The setup will be migrated to AEM as a Cloud Service. Which two methods can be applied for scaling publish instances on the current platform? (Choose two.)","Manual scaling via CSE horizontally","Auto scaling via Cloud Manager horizontally","Auto scaling via Cloud Manager vertically","Manual scaling via the Adobe I/O CLI vertically","Manual scaling via Cloud Manager horizontally","B and E","Auto scaling via Cloud Manager horizontally and Manual scaling via Cloud Manager horizontally. AMS supports both auto-scaling and manual scaling through Cloud Manager, and both use horizontal scaling. CSEs no longer manage instance scaling directly, and vertical scaling is not typically used for publish instances.","AMS scaling: Both auto and manual horizontal scaling via Cloud Manager"
Q75,Cloud Service,Practice Question,Medium,"A DevOps engineer is migrating an AEM 6.2 instance with a large content repository to AEM as a Cloud Service. The DevOps engineer must prepare the instance to move existing content via the Content Transfer Tool. Which two actions is the DevOps engineer required to perform? (Choose two.)","Refactor the application code","Upgrade the instance to AEM 6.5","Review total index size","Install the latest AEM Service Packs","B and C","Upgrade the instance to AEM 6.5 and Review total index size. The Content Transfer Tool requires a minimum of AEM 6.5, so upgrading from 6.2 is mandatory. Reviewing the total index size is also required because Cloud Service uses a different indexing approach, and index size affects migration planning.","Cloud Service migration: AEM 6.5 minimum and index size review for CTT"
Q76,Cloud Service,Practice Question,Hard,"The most recent Non-Production pipeline failed for an AEM as a Cloud Service program. The DevOps engineer is investigating and observes the following: The pipeline failed during the Functional Testing phase. The pipeline step log indicates a timeout error when replicating paths under a ""/content/test-site"" root. The dev environment error logs and the Distribution page on Author indicate that the distribution queues are blocked on a content package. What is causing the issue?","The sling-distribution user has insufficient permissions in the dev environment","The sling-distribution user has insufficient permissions in the Author Service","The sling-distribution-importer user has insufficient permissions in the Publish Service","The sling-distribution-importer user has insufficient permissions in the Author Service","C","The sling-distribution-importer user has insufficient permissions in the Publish Service. Distribution queue blockage suggests a publish-side issue where content can't be imported. The sling-distribution-importer needs correct permissions on the receive side (publish) to process queued content packages.","Cloud Service distribution: sling-distribution-importer permissions on publish service"
Q77,Dispatcher,Practice Question,Hard,"A DevOps engineer notices a high load on the Publish instances. URLs similar to the following hit the publish servers directly and are not cached on dispatcher: GET /content/siteA/page1.html?user=test1, GET /content/siteA/page1.html?user=test2, GET /content/siteA/page1.html?user1=test3, GET /content/siteA/page1.html?user2=test4. How should a DevOps engineer configure the dispatcher?","/ignoreUrlParams{/0001 { /glob ""*""/type ""allow"" }/0002 { /glob ""test*"" /type ""deny"" }}","/ignoreUrlParams{/0001 {/glob ""*""/type ""deny""} /0002 {/glob ""test*"" type ""allow"" }}","/ignoreUrlParams {/0001 { /glob ""*""/type ""allow"" }/0002 { /glob ""user*"" /type ""deny"" }}","/ignoreUrlParams{/0001 { /glob ""*""/type ""deny"" }/0002 { /glob ""user*"" /type ""allow"" }}","C","/ignoreUrlParams {/0001 { /glob ""*""/type ""allow"" }/0002 { /glob ""user*"" /type ""deny"" }}. This configuration ignores all parameters by default (allow) but doesn't ignore user parameters (deny), ensuring URLs with different user parameters use the same cached response, reducing publish load.","Dispatcher caching: Use /ignoreUrlParams to cache URLs with user parameters"
Q78,Cloud Service,Practice Question,Easy,"A developer needs to preview a new page before releasing publicly. The DevOps engineer confirms that AEM as a Cloud Service is the latest version and that the correct IP has been added to a new Allow List for the Preview Service. The developer is still not able to access the page. What should the DevOps engineer do?","Unapply the default IP Allow List from the Preview Service","Reapply the default IP Allow List from the Preview Service","Create an IP Allow List and apply to Publish Service","Unapply the default IP Allow List from the Publish Service","A","Unapply the default IP Allow List from the Preview Service. When a new allow list is added to Preview Service, the default list must be removed because default and custom lists don't merge. The default list blocks all IPs except Adobe's defaults, so removing it allows the custom IP list to take effect.","Cloud Service preview: Remove default IP allow list when adding custom list"
Q79,Cloud Service,Practice Question,Medium,"A DevOps engineer needs to deploy a branch to the Stage Environment, so UAT testing can begin. The engineer starts a Production Pipeline with a manual trigger. The Code Scanning results return the following summary: Security Rating: C, Reliability Rating: B, Maintainability Rating: A, Code Coverage: 10%. Which two actions should the DevOps engineer take? (Choose two.)","Request the developer to resolve Code Coverage issues","Request the developer to resolve Security Rating issues","Override this build step and proceed with deployment","Start a new Deployment Pipeline with manual override","A and B","Request the developer to resolve Code Coverage issues and Request the developer to resolve Security Rating issues. Code Coverage at 10% is too low (best practice requires 60-80%), and Security Rating of C indicates vulnerabilities. Both issues should be fixed before proceeding to ensure a stable and secure UAT testing environment.","Cloud Manager quality gates: Fix security and code coverage issues before deployment"
Q80,Performance,Practice Question,Easy,"A DevOps engineer needs to analyze response performance from AEM. Log files can be extracted from the AEM environment. Which logfile should be analyzed?","request.log","access.log","response.log","replication.log","A","request.log captures details of each request made to AEM, records response times to help diagnose slow responses, and provides insight into processing delays, request load, and bottlenecks. This makes it the most relevant log file for analyzing response performance.","Performance analysis: request.log for response time analysis"
Q81,Cloud Service,Practice Question,Medium,"A DevOps engineer is managing an AEM as a Cloud Service Sites environment for a customer. They are in the final stages of going live and only have a couple of release candidates to go. During regular testing using an on-premise code quality check, all requirements were passed. Running the pipeline and a deployment to the AEM as a Cloud Service instances shows that the code quality check did not pass. The code flagged produces the following issue: @Property(label = ""Service Password"", value = ""mysecretpassword"") private static final String PROP_SERVICE_PASSWORD = ""password""; What should the DevOps engineer do?","Contact support to bypass the pipeline step in Cloud Manager","Suppress the warning in Cloud Manager using @SuppressWarnings(""squid:S2068"")","Inform the development team and ask them to remove the password","Override the code quality gate and proceed","C","Inform the development team and ask them to remove the password. Hardcoded passwords in source code are security vulnerabilities that should never be deployed to production. The development team must remove the hardcoded password and use proper configuration management instead.","Code quality: Remove hardcoded passwords from source code"
Q82,Cloud Service,Practice Question,Medium,"A DevOps engineer is monitoring an Adobe Managed Services AEM Sites environment. AEM Sites is being run for the customer. During the performance tests conducted via Cloud Manager, the DevOps engineer notices high CPU utilization. What should the DevOps engineer do?","Log in to the server using SSH on production, then rerun the test and run top in parallel","Create a support ticket to the CSE to provide the logs of AEM from during the test run","Connect VisualGC to the JVM using JMX while running the tests to gather JVM CPU usage","Use Cloud Manager monitoring to analyze CPU usage","B","Create a support ticket to the CSE to provide the logs of AEM from during the test run. In AMS, customers don't have direct SSH access to production environments, and JMX is not enabled for security reasons. The correct approach is to work with Adobe's Customer Support Engineering team to analyze logs and identify performance bottlenecks.","AMS monitoring: Work with CSE for performance analysis"
Q83,Cloud Service,Practice Question,Easy,"On the weekend, a DevOps engineer is notified that an emergency code fix must be installed on the company's Adobe Managed Services production publish instances to avoid an imminent system down issue. The DevOps engineer needs to engage Adobe Managed Services team via the Admin console to execute this request. Which priority level should be assigned for this Support Case?","P3 Interruptions to normal operations","P2 Serious interruptions to normal operations","P4 Minimal or no interruptions to normal operations","P1 Critical","D","P1 Critical. An imminent system down issue affecting production publish instances requires immediate attention and qualifies as a critical priority. This ensures the fastest response time from Adobe's support team to prevent system downtime.","Support priority: P1 Critical for imminent system down issues"
Q84,Cloud Service,Practice Question,Medium,"A DevOps engineer needs to add functionality to allow developers to start Cloud Manager builds from their local environments via a bash script or IDE plugin. What should the DevOps engineer add after creating an Adobe I/O project?","An API for Cloud Manager","A plugin for Cloud Manager","An Event for Cloud Manager","A webhook for Cloud Manager","A","An API for Cloud Manager. To allow developers to trigger Cloud Manager builds from their local environments, the DevOps engineer must integrate with the Cloud Manager API. This enables automation of build and deployment triggers from external tools and supports authentication via Adobe I/O.","Cloud Manager integration: Use API for external build triggers"
Q85,Cloud Service,Practice Question,Easy,"One week ago, a P3 ticket was closed. The ticket contains all pertinent information about the issue and the corresponding resolution. Today, the exact issue is happening. The resolution is not working. What should the DevOps engineer do?","Open a new ticket","Escalate via the Actions section","Reopen the same ticket","Contact support directly","C","Reopen the same ticket. Within 14 days of closure, tickets can be reopened to continue the same issue. After 14 days, Customer Success opens a new ticket. Since it's been one week, the DevOps engineer should reopen the existing ticket with the same issue details.","Support tickets: Reopen within 14 days, new ticket after 14 days"
Q86,Cloud Service,Practice Question,Hard,"Developers add a content package module named ""ui.utils"" to the Maven project. The module provides debugging servlets for use in testing features for a website hosted on AEM as a Cloud Service. These servlets are not secured and should not be deployed to the production Cloud Service environment. What should the DevOps engineer add?","Add "" element identifying the ""ui.utils"" artifact and a matching "" element to the ""all"" package pom.xml with a target path of /apps/mysite-packages/application/install","Add a "" element in the ""ui.utils"" pom.xml that adds the ""all"" to the ui.utils package properties, which is activated when an env variable is set to a particular value","Add a pipeline to the team's CI service that builds the ui.utils content package and uploads it to the Author server's CRX Package Manager servlet after receiving a successful response from a Cloud Manager webhook","Add a Maven profile to exclude ui.utils from production builds","B","Add a "" element in the ""ui.utils"" pom.xml that adds the ""all"" to the ui.utils package properties, which is activated when an env variable is set to a particular value. Maven profiles allow conditional builds based on environment, ensuring debugging servlets are only included in development/testing but excluded from production.","Maven profiles: Use environment-based activation for conditional deployment"
Q87,Cloud Service,Practice Question,Medium,"A customer wants duplicate assets detected regardless of filenames as they upload to AEM Asset. How should the DevOps engineer set up the configuration?","In the ui.apps project, locate the config folder that targets the runmode and create a new .cfg.json file in /apps with the following: {""enabled"":true, ""detectMetadataField"" :""dam:sha1"" }","In the ui.config project, locate the /conf/global/settings/dam folder that targets the runmode and create a new cfg.json file in /config/dam with the following: {""enabled"":true, ""detectMetadataField"" :""dam:sha1""}","In the ui.apps project, locate the config folder that targets the runmode and create a new .cfg.json file in /apps with the following: {""detect_duplicate"": true, ""detectMetadataField"": ""dam:sha1"" }","In the ui.config project, locate the /conf/global/settings/dam folder and create a new cfg.json file with the following: {""detect_duplicate"": true, ""detectMetadataField"": ""dam:sha1""}","C","In the ui.apps project, locate the config folder that targets the runmode and create a new .cfg.json file in /apps with the following: {""detect_duplicate"": true, ""detectMetadataField"": ""dam:sha1"" }. AEM Assets uses SHA-1 hash (dam:sha1) to detect duplicate assets, ensuring identical binary files are recognized even if filenames differ.","Asset duplicate detection: Configure detect_duplicate with dam:sha1 metadata field"
Q88,Cloud Service,Practice Question,Medium,"A customer of AEM as a Cloud Service accidentally releases a feature to production much earlier than planned. The decision has been made to roll back the environment to the previous release. What should the DevOps engineer do?","1. Click ""Reinstall"" in Package Manager for all packages from the previous release. 2. Trigger the ""Publish content tree"" workflow for the home page and its children.","1. Copy the most recent git tag by running the command, 'git tag | sort -r | head -n 1'. 2. Reset and force push the production pipeline branch to the copied tag and trigger the pipeline.","1. Find the most recent successful production pipeline on the Activity tab in Cloud Manager and copy the git tag. 2. Reset and force push the production pipeline branch to the copied tag and trigger the pipeline.","1. Restore the previous Revision from the Version History panel of the home page in AEM Sites. 2. Trigger the ""Publish content tree"" workflow for the home page and its children.","C","1. Find the most recent successful production pipeline on the Activity tab in Cloud Manager and copy the git tag. 2. Reset and force push the production pipeline branch to the copied tag and trigger the pipeline. AEM as a Cloud Service follows a Git-based deployment model, and rolling back requires redeploying the previous successful commit through Cloud Manager.","Cloud Service rollback: Use Git-based deployment through Cloud Manager"
Q89,Cloud Service,Practice Question,Medium,"A customer of AEM as a Cloud Service is planning to launch a major site redesign. The customer is concerned about the possible impact of the refactored code base on a number of different web quality metrics, including performance, accessibility, and search engine optimization. The DevOps engineer needs to respond to these concerns. What should the DevOps engineer do?","Request an Expert Session in Admin Console to schedule real-time performance monitoring during the launch","Reduce the ""95th percentile response time"" KPI value in order to detect issues more quickly","Add high value site pages to the Production Pipeline Experience Audit list","Enable additional monitoring in Cloud Manager","C","Add high value site pages to the Production Pipeline Experience Audit list. AEM as a Cloud Service includes Experience Audit as part of the Cloud Manager Production Pipeline, which evaluates key web quality metrics such as performance, accessibility, and SEO. Adding high-value pages ensures critical site areas are automatically tested before deployment.","Cloud Service quality: Use Experience Audit for web quality metrics"
Q90,Cloud Service,Practice Question,Hard,"A DevOps engineer needs to configure a new program in an Adobe Managed Services instance. The customer expects consistent traffic of approximately 10,000 page views per minute on the Production CDN with a caching ratio of 95%. The Production environment will have 4 dispatcher/publish servers. The Staging environment will have 1 dispatcher/publish server. How should the DevOps engineer configure the new program?","Set the ""95th percentile response time"" KPI to the recommended value of 3 seconds and the ""Page Views per Minute"" KPI to 9,500","Enable the On-demand scaling policy for the Non-Production Environment and set ""Max additional Publish-Dispatcher segments allowed"" to 1","Enable the On-demand scaling policy for the Non-Production Environment and set ""Max additional Publish-Dispatcher segments allowed"" to 3","Set the ""95th percentile response time"" KPI to the recommended value of 3 seconds and the ""Page Views per Minute"" KPI to 2,500","D","Set the ""95th percentile response time"" KPI to the recommended value of 3 seconds and the ""Page Views per Minute"" KPI to 2,500. With 95% cache ratio, only 5% of requests hit the backend (500 requests/minute per server). With 4 servers, this equals 2,000 total backend hits, so 2,500 provides buffer for spikes. 3 seconds for 95th percentile is the standard recommendation.","AMS configuration: Calculate backend traffic based on cache hit ratio"
Q91,CRX/Oak,Practice Question,Medium,"How should a DevOps engineer increase offline tar compaction performance?","Set -Dcompaction-progress-log to 1","Set ""> /dev/nul 2>&1""","Set -Dtar.memoryMapped to true","Increase memory allocated to the Java container","C","Set -Dtar.memoryMapped to true. Memory mapping allows direct memory access to files, reduces copying between kernel and user space, and can significantly improve I/O performance. This provides the most effective way to increase offline tar compaction performance through optimized I/O operations.","Oak compaction: Use memory mapping for improved I/O performance"
Q92,Deployment,Practice Question,Easy,"A DevOps engineer needs to take a publish instance out of the loadbalancing for maintenance so that it does not answer requests. Which step should the DevOps engineer take regarding replication of content?","Stop the replication queue","Deactivate the replication agent for this publish instance","Disable the replication agent for this publish instance","Stop the replication bundle","C","Disable the replication agent for this publish instance. This prevents replication during maintenance while maintaining configuration for easy re-enabling. It's the appropriate level of intervention for maintenance work and is specific to the instance being maintained.","Maintenance: Disable replication agent for specific instance"
Q93,Maintenance,Practice Question,Easy,"You are configuring backup for the first time. Which backup strategy should a DevOps engineer use?","One complete repository backup and one content package backup via CRX for quick restore on author AEM instance","One complete repository backup and one content package backup via CRX for quick restore on each AEM instance","Single complete repository backup on each AEM instance","Different backup packages for different content via the CRX package on each AEM instance","C","Single complete repository backup on each AEM instance. A complete repository backup captures JCR content, system configurations, workflows, indexes, user data, and everything in the repository. This provides a full snapshot that can restore the entire AEM instance to a known working state without additional steps.","Backup strategy: Use complete repository backup for full system restore"
Q94,Security,Practice Question,Medium,"How should a DevOps engineer configure against Cross Site Request Forging attacks?","Send the proper X-Frame-Options HTTP response headers that instruct the browser to disallow framing from other domains","Set Access-Control-Allow-Origin to wildcard","Create a filter to allow /libs/granite/csrf/token.json path and CSRF-Token header in dispatcher","Configure SSL certificates for all domains","C","Create a filter to allow /libs/granite/csrf/token.json path and CSRF-Token header in dispatcher. AEM has built-in CSRF protection that relies on CSRF tokens obtained from /libs/granite/csrf/token.json and validated via CSRF-Token header. This approach aligns with Adobe's best practices for CSRF protection.","CSRF protection: Allow CSRF token path and header in dispatcher"
Q95,Maintenance,Practice Question,Easy,"Which three regular maintenance tasks should be executed and scheduled regularly? (Choose three.)","Workflow purge","User cache purge","Version purging","Audit log purge","A, C, D","Workflow purge, Version purging, and Audit log purge. These three tasks are essential regular maintenance activities: Workflow purge removes completed workflow instances to prevent database growth, Version purging removes old content versions to manage content history and prevent repository bloat, and Audit log purge cleans up audit logs to prevent accumulation and maintain system health.","Maintenance tasks: Schedule workflow purge, version purging, and audit log purge"
Q96,Security,Practice Question,Easy,"When running an AEM instance in Production Ready Mode, which two security measures are applied? (Choose two.)","The CRXDE Support bundle (com.adobe.granite.crxde-support) is disabled","Author user account is disabled on publish instances","WebDAV Access to repositories will only be available on author instances","HTTPS transport layer is enabled","A and B","The CRXDE Support bundle (com.adobe.granite.crxde-support) is disabled and Author user account is disabled on publish instances. Production Ready Mode applies security hardening measures including disabling development tools like CRXDE and preventing author access on publish instances to enhance security.","Production Ready Mode: Disables CRXDE and author access on publish"
